,climate_change,pro_cars,carnivore_tax,preserve_forests,austerity,basic_income,pro_euro,public_sohe_services,privatize_eldercare,euthanasy,gender_change_under18,wines_to_supermarkets,forbid_energydrinks_u15,decrease_snus_import,equal_parental_leave,extend_education,fshift_summer_vacay,uni_qualvquant,immigrants_dangerous,immigrants_needed,nato_membership,hatespeech_criminalize,traditional_values,hard_police,econ_inequality,individual_responsibility,voter_loyalty,principles
1253,5.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,2.0,5.0,2.0,5.0,,5.0,5.0,1.0,1.0,5.0,2.0,1.0,5.0,4.0,1.0,1.0,1.0,5.0,5.0,5.0
1258,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0
1259,5.0,1.0,2.0,4.0,1.0,4.0,4.0,1.0,2.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,5.0,1.0,,1.0,5.0,4.0,4.0,4.0,4.0,5.0,2.0
1261,5.0,1.0,2.0,5.0,1.0,4.0,4.0,1.0,5.0,1.0,5.0,5.0,1.0,4.0,4.0,2.0,2.0,5.0,4.0,2.0,1.0,5.0,5.0,4.0,4.0,2.0,5.0,4.0
1265,5.0,1.0,1.0,4.0,1.0,5.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,5.0,1.0,2.0,1.0,5.0,5.0,2.0,4.0,2.0,4.0,5.0
1288,4.0,2.0,2.0,2.0,2.0,1.0,5.0,1.0,2.0,4.0,2.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,1.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0
1302,4.0,2.0,2.0,4.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,5.0,5.0,1.0,4.0,2.0,2.0,5.0,4.0,2.0,2.0,5.0,4.0,2.0,2.0,4.0,5.0,4.0
1311,4.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0
1321,2.0,5.0,4.0,1.0,5.0,,5.0,1.0,4.0,4.0,1.0,2.0,2.0,5.0,1.0,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,5.0,5.0
1389,5.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,5.0,2.0,1.0,2.0,2.0,5.0,4.0,4.0,4.0,2.0,5.0,4.0,1.0,2.0,2.0,5.0,5.0
1403,4.0,4.0,2.0,1.0,2.0,1.0,5.0,1.0,4.0,2.0,2.0,4.0,4.0,4.0,5.0,4.0,1.0,4.0,1.0,1.0,4.0,5.0,5.0,1.0,2.0,4.0,5.0,5.0
1420,1.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,4.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,1.0,1.0,5.0,2.0,5.0,1.0,2.0,1.0,4.0,1.0,4.0,5.0
1424,4.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,,4.0,4.0,5.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,5.0,5.0
1435,2.0,4.0,4.0,2.0,5.0,1.0,4.0,1.0,4.0,4.0,1.0,5.0,4.0,4.0,5.0,2.0,2.0,2.0,5.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0
1450,5.0,2.0,2.0,5.0,1.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,5.0,5.0,5.0
1465,5.0,1.0,1.0,4.0,2.0,1.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,5.0,4.0,2.0,2.0,4.0,4.0,4.0
1482,5.0,1.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,1.0,5.0,1.0,2.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,5.0
1507,5.0,1.0,1.0,4.0,2.0,5.0,4.0,2.0,2.0,1.0,5.0,4.0,2.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,1.0,5.0,4.0,4.0,4.0,5.0,5.0,1.0
1509,2.0,4.0,2.0,2.0,1.0,1.0,5.0,1.0,4.0,4.0,1.0,5.0,4.0,5.0,5.0,2.0,2.0,2.0,4.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0,4.0
1510,4.0,2.0,2.0,2.0,2.0,1.0,5.0,1.0,5.0,1.0,4.0,5.0,,2.0,5.0,5.0,1.0,4.0,4.0,2.0,5.0,5.0,2.0,1.0,2.0,4.0,4.0,5.0
1524,5.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,2.0,4.0,4.0,5.0,5.0
1525,5.0,4.0,2.0,5.0,1.0,1.0,2.0,2.0,4.0,2.0,5.0,5.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0
1526,5.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0,4.0,5.0,2.0,4.0,2.0,4.0,1.0,4.0,1.0,4.0,1.0,5.0,4.0,2.0,2.0,1.0,5.0,2.0
1535,5.0,1.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,4.0,4.0,1.0,4.0,2.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0
1543,5.0,1.0,1.0,4.0,2.0,5.0,4.0,1.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,5.0,1.0,2.0,1.0,5.0,5.0,1.0,4.0,5.0,5.0,2.0
1558,5.0,1.0,1.0,5.0,2.0,5.0,4.0,1.0,5.0,1.0,5.0,5.0,5.0,,1.0,5.0,,5.0,1.0,1.0,2.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0
1572,4.0,4.0,2.0,2.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,5.0
1573,4.0,5.0,5.0,2.0,5.0,2.0,5.0,1.0,5.0,2.0,1.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,5.0,5.0
1623,2.0,4.0,4.0,5.0,4.0,1.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,5.0,2.0,4.0,4.0,1.0,4.0,4.0,2.0,2.0,1.0,4.0,5.0,4.0
1633,2.0,4.0,2.0,2.0,2.0,1.0,5.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,4.0,1.0,5.0,2.0,2.0,1.0,2.0,4.0,2.0,5.0
1636,5.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,4.0,5.0,1.0,4.0,2.0,1.0,4.0,5.0,4.0,2.0,4.0,4.0,5.0,5.0
1649,5.0,4.0,1.0,2.0,2.0,4.0,4.0,2.0,5.0,2.0,1.0,1.0,5.0,2.0,4.0,5.0,1.0,4.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,4.0,5.0,5.0
1654,5.0,2.0,2.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,5.0,5.0,1.0,2.0,4.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0
1662,5.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,5.0,4.0,2.0,2.0,4.0,1.0,5.0,2.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0
1672,5.0,1.0,1.0,5.0,1.0,4.0,4.0,2.0,5.0,1.0,5.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,5.0,5.0,5.0
1686,5.0,2.0,2.0,4.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,2.0,2.0,1.0,4.0,5.0,4.0,5.0,4.0,2.0,4.0,5.0
1700,5.0,1.0,1.0,2.0,5.0,5.0,5.0,1.0,4.0,1.0,4.0,5.0,2.0,2.0,4.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,4.0,5.0,5.0,2.0
1702,5.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0
1705,5.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,1.0,5.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0
1729,4.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0
1736,1.0,5.0,5.0,2.0,5.0,2.0,4.0,2.0,5.0,4.0,1.0,4.0,5.0,4.0,5.0,2.0,2.0,2.0,5.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0
1758,4.0,2.0,2.0,2.0,4.0,2.0,5.0,2.0,4.0,2.0,4.0,4.0,2.0,5.0,5.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,2.0,1.0,1.0,4.0,5.0,5.0
1767,5.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,5.0,5.0,1.0,4.0,1.0,1.0,4.0,4.0,1.0,4.0,5.0,4.0,2.0,4.0,4.0,5.0,5.0
1786,4.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,4.0,1.0,4.0,4.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,5.0,5.0
1789,4.0,1.0,1.0,4.0,2.0,2.0,4.0,1.0,2.0,4.0,2.0,5.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0
1808,5.0,2.0,1.0,4.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,4.0,2.0,4.0,4.0,2.0,2.0,5.0,2.0,1.0,2.0,2.0,5.0,4.0
